,YEAR,MONTH,DISTRICT,PRECTOT
0,1981,1,Arghakhanchi,67.31
1,1981,2,Arghakhanchi,3.37
2,1981,3,Arghakhanchi,26.02
3,1981,4,Arghakhanchi,46.15
4,1981,5,Arghakhanchi,69.45
5,1981,6,Arghakhanchi,110.77
6,1981,7,Arghakhanchi,620.05
7,1981,8,Arghakhanchi,309.99
8,1981,9,Arghakhanchi,184.98
9,1981,10,Arghakhanchi,11.72
10,1981,11,Arghakhanchi,36.66
11,1981,12,Arghakhanchi,1.37
12,1982,1,Arghakhanchi,57.76
13,1982,2,Arghakhanchi,22.8
14,1982,3,Arghakhanchi,36.3
15,1982,4,Arghakhanchi,32.8
16,1982,5,Arghakhanchi,19.03
17,1982,6,Arghakhanchi,138.72
18,1982,7,Arghakhanchi,343.76
19,1982,8,Arghakhanchi,150.33
20,1982,9,Arghakhanchi,178.89
21,1982,10,Arghakhanchi,2.55
22,1982,11,Arghakhanchi,12.51
23,1982,12,Arghakhanchi,7.29
24,1983,1,Arghakhanchi,4.66
25,1983,2,Arghakhanchi,1.89
26,1983,3,Arghakhanchi,5.48
27,1983,4,Arghakhanchi,18.68
28,1983,5,Arghakhanchi,40.74
29,1983,6,Arghakhanchi,90.84
30,1983,7,Arghakhanchi,160.8
31,1983,8,Arghakhanchi,131.82
32,1983,9,Arghakhanchi,144.03
33,1983,10,Arghakhanchi,120.55
34,1983,11,Arghakhanchi,0.0
35,1983,12,Arghakhanchi,12.16
36,1984,1,Arghakhanchi,5.24
37,1984,2,Arghakhanchi,25.26
38,1984,3,Arghakhanchi,2.07
39,1984,4,Arghakhanchi,3.09
40,1984,5,Arghakhanchi,16.02
41,1984,6,Arghakhanchi,172.16
42,1984,7,Arghakhanchi,286.21
43,1984,8,Arghakhanchi,210.33
44,1984,9,Arghakhanchi,249.44
45,1984,10,Arghakhanchi,25.6
46,1984,11,Arghakhanchi,2.0
47,1984,12,Arghakhanchi,5.17
48,1985,1,Arghakhanchi,36.35
49,1985,2,Arghakhanchi,0.21
50,1985,3,Arghakhanchi,0.03
51,1985,4,Arghakhanchi,3.71
52,1985,5,Arghakhanchi,29.24
53,1985,6,Arghakhanchi,54.03
54,1985,7,Arghakhanchi,260.77
55,1985,8,Arghakhanchi,161.11
56,1985,9,Arghakhanchi,248.93
57,1985,10,Arghakhanchi,102.29
58,1985,11,Arghakhanchi,0.0
59,1985,12,Arghakhanchi,8.3
60,1986,1,Arghakhanchi,1.37
61,1986,2,Arghakhanchi,14.91
