YEAR,MONTH,DISTRICT,PRECTOT
1981,1,Arghakhanchi,67.31
1981,2,Arghakhanchi,3.37
1981,3,Arghakhanchi,26.02
1981,4,Arghakhanchi,46.15
1981,5,Arghakhanchi,69.45
1981,6,Arghakhanchi,110.77
1981,7,Arghakhanchi,620.05
1981,8,Arghakhanchi,309.99
1981,9,Arghakhanchi,184.98
1981,10,Arghakhanchi,11.72
1981,11,Arghakhanchi,36.66
1981,12,Arghakhanchi,1.37
1982,1,Arghakhanchi,57.76
1982,2,Arghakhanchi,22.8
1982,3,Arghakhanchi,36.3
1982,4,Arghakhanchi,32.8
1982,5,Arghakhanchi,19.03
1982,6,Arghakhanchi,138.72
1982,7,Arghakhanchi,343.76
1982,8,Arghakhanchi,150.33
1982,9,Arghakhanchi,178.89
1982,10,Arghakhanchi,2.55
1982,11,Arghakhanchi,12.51
1982,12,Arghakhanchi,7.29
1983,1,Arghakhanchi,4.66
1983,2,Arghakhanchi,1.89
1983,3,Arghakhanchi,5.48
1983,4,Arghakhanchi,18.68
1983,5,Arghakhanchi,40.74
1983,6,Arghakhanchi,90.84
1983,7,Arghakhanchi,160.8
1983,8,Arghakhanchi,131.82
1983,9,Arghakhanchi,144.03
1983,10,Arghakhanchi,120.55
1983,11,Arghakhanchi,0.0
1983,12,Arghakhanchi,12.16
1984,1,Arghakhanchi,5.24
1984,2,Arghakhanchi,25.26
1984,3,Arghakhanchi,2.07
1984,4,Arghakhanchi,3.09
1984,5,Arghakhanchi,16.02
1984,6,Arghakhanchi,172.16
1984,7,Arghakhanchi,286.21
1984,8,Arghakhanchi,210.33
1984,9,Arghakhanchi,249.44
1984,10,Arghakhanchi,25.6
1984,11,Arghakhanchi,2.0
1984,12,Arghakhanchi,5.17
1985,1,Arghakhanchi,36.35
1985,2,Arghakhanchi,0.21
1985,3,Arghakhanchi,0.03
1985,4,Arghakhanchi,3.71
1985,5,Arghakhanchi,29.24
1985,6,Arghakhanchi,54.03
1985,7,Arghakhanchi,260.77
1985,8,Arghakhanchi,161.11
1985,9,Arghakhanchi,248.93
1985,10,Arghakhanchi,102.29
1985,11,Arghakhanchi,0.0
1985,12,Arghakhanchi,8.3
1986,1,Arghakhanchi,1.37
1986,2,Arghakhanchi,14.91
1986,3,Arghakhanchi,3.03
1986,4,Arghakhanchi,7.99
1986,5,Arghakhanchi,19.8
1986,6,Arghakhanchi,125.14
1986,7,Arghakhanchi,287.25
1986,8,Arghakhanchi,104.18
1986,9,Arghakhanchi,87.84
1986,10,Arghakhanchi,24.82
1986,11,Arghakhanchi,0.39
1986,12,Arghakhanchi,31.66
1987,1,Arghakhanchi,17.9
1987,2,Arghakhanchi,3.44
1987,3,Arghakhanchi,3.61
1987,4,Arghakhanchi,2.49
1987,5,Arghakhanchi,30.93
1987,6,Arghakhanchi,12.24
1987,7,Arghakhanchi,291.64
1987,8,Arghakhanchi,212.63
1987,9,Arghakhanchi,204.87
1987,10,Arghakhanchi,109.14
1987,11,Arghakhanchi,0.0
1987,12,Arghakhanchi,7.05
1988,1,Arghakhanchi,21.03
1988,2,Arghakhanchi,4.58
1988,3,Arghakhanchi,24.67
1988,4,Arghakhanchi,17.13
1988,5,Arghakhanchi,23.76
1988,6,Arghakhanchi,87.63
1988,7,Arghakhanchi,487.28
1988,8,Arghakhanchi,396.1
1988,9,Arghakhanchi,84.39
1988,10,Arghakhanchi,13.66
1988,11,Arghakhanchi,0.0
1988,12,Arghakhanchi,15.76
1989,1,Arghakhanchi,28.43
1989,2,Arghakhanchi,11.99
1989,3,Arghakhanchi,6.43
1989,4,Arghakhanchi,2.65
1989,5,Arghakhanchi,28.91
1989,6,Arghakhanchi,174.79
1989,7,Arghakhanchi,276.25
1989,8,Arghakhanchi,205.25
1989,9,Arghakhanchi,90.51
1989,10,Arghakhanchi,6.57
1989,11,Arghakhanchi,1.79
1989,12,Arghakhanchi,9.78
1990,1,Arghakhanchi,0.06
1990,2,Arghakhanchi,36.37
1990,3,Arghakhanchi,3.76
1990,4,Arghakhanchi,6.44
1990,5,Arghakhanchi,25.63
1990,6,Arghakhanchi,170.18
1990,7,Arghakhanchi,590.08
1990,8,Arghakhanchi,165.03
1990,9,Arghakhanchi,151.89
1990,10,Arghakhanchi,10.77
1990,11,Arghakhanchi,0.02
1990,12,Arghakhanchi,3.01
1991,1,Arghakhanchi,6.14
1991,2,Arghakhanchi,0.72
1991,3,Arghakhanchi,8.65
1991,4,Arghakhanchi,0.53
1991,5,Arghakhanchi,25.56
1991,6,Arghakhanchi,37.08
1991,7,Arghakhanchi,165.76
1991,8,Arghakhanchi,214.05
1991,9,Arghakhanchi,192.08
1991,10,Arghakhanchi,1.45
1991,11,Arghakhanchi,2.03
1991,12,Arghakhanchi,34.19
1992,1,Arghakhanchi,1.3
1992,2,Arghakhanchi,2.49
1992,3,Arghakhanchi,0.69
1992,4,Arghakhanchi,0.07
1992,5,Arghakhanchi,18.79
1992,6,Arghakhanchi,114.2
1992,7,Arghakhanchi,191.76
1992,8,Arghakhanchi,210.4
1992,9,Arghakhanchi,129.01
1992,10,Arghakhanchi,85.16
1992,11,Arghakhanchi,2.35
1992,12,Arghakhanchi,0.13
1993,1,Arghakhanchi,4.89
1993,2,Arghakhanchi,3.37
1993,3,Arghakhanchi,34.58
1993,4,Arghakhanchi,11.29
1993,5,Arghakhanchi,24.98
1993,6,Arghakhanchi,144.28
1993,7,Arghakhanchi,171.67
1993,8,Arghakhanchi,139.84
1993,9,Arghakhanchi,151.66
1993,10,Arghakhanchi,1.48
1993,11,Arghakhanchi,0.38
1993,12,Arghakhanchi,0.0
1994,1,Arghakhanchi,22.35
1994,2,Arghakhanchi,9.05
1994,3,Arghakhanchi,1.9
1994,4,Arghakhanchi,3.34
1994,5,Arghakhanchi,6.15
1994,6,Arghakhanchi,113.07
1994,7,Arghakhanchi,240.29
1994,8,Arghakhanchi,125.37
1994,9,Arghakhanchi,157.56
1994,10,Arghakhanchi,5.57
1994,11,Arghakhanchi,0.12
1994,12,Arghakhanchi,0.0
1995,1,Arghakhanchi,14.24
1995,2,Arghakhanchi,13.89
1995,3,Arghakhanchi,3.67
1995,4,Arghakhanchi,2.9
1995,5,Arghakhanchi,6.62
1995,6,Arghakhanchi,148.82
1995,7,Arghakhanchi,198.24
1995,8,Arghakhanchi,237.24
1995,9,Arghakhanchi,78.81
1995,10,Arghakhanchi,3.29
1995,11,Arghakhanchi,38.77
1995,12,Arghakhanchi,4.78
1996,1,Arghakhanchi,47.85
1996,2,Arghakhanchi,29.94
1996,3,Arghakhanchi,1.41
1996,4,Arghakhanchi,32.59
1996,5,Arghakhanchi,15.66
1996,6,Arghakhanchi,107.67
1996,7,Arghakhanchi,166.33
1996,8,Arghakhanchi,267.12
1996,9,Arghakhanchi,45.4
1996,10,Arghakhanchi,60.83
1996,11,Arghakhanchi,0.0
1996,12,Arghakhanchi,0.0
1997,1,Arghakhanchi,5.29
1997,2,Arghakhanchi,0.03
1997,3,Arghakhanchi,1.91
1997,4,Arghakhanchi,27.42
1997,5,Arghakhanchi,11.08
1997,6,Arghakhanchi,40.91
1997,7,Arghakhanchi,124.14
1997,8,Arghakhanchi,116.01
1997,9,Arghakhanchi,61.39
1997,10,Arghakhanchi,11.66
1997,11,Arghakhanchi,4.05
1997,12,Arghakhanchi,27.69
1998,1,Arghakhanchi,3.37
1998,2,Arghakhanchi,4.58
1998,3,Arghakhanchi,19.59
1998,4,Arghakhanchi,16.95
1998,5,Arghakhanchi,16.01
1998,6,Arghakhanchi,53.97
1998,7,Arghakhanchi,320.18
1998,8,Arghakhanchi,327.0
